Material Number,Manufacturer Name,Manufacturer Article Number,Type Code,Short Text,Plant,Storage Location,Storage Bin,Technical Drawing Number,Technical Parameters,Remark 1,GTIN,SPARETECH ID,eClass [10.1],Storage Location,MRP Type_VB_ND,Purchasing Group,Valuation Class,Order Quantity_HB_FX,Fixed Order Quantity,Minimum Stock,Current Inventory Level,Maximum Quantity,Reorder Level,Base Unit of Measure,Purchase Order Text,Supplier Name,Supplier Article Number,Time Of Delivery,Price,MRP Type,Purchasing Value Key,Quantity Functional Location,Technical Location,Quantity Technical Location,Equipment,Quantity Equipment,Purchased Part/In-House Production,Language,Remark 2,New Creation ID
ERSA000001,Siemens,6ES7971-1AA00-0AA0,,Battery,Stuttgart,0020-EF50,0012L02007,,,,,,,0020-EF50,VB,C875,,FX,2,,,5,1,PC,Battery 6ES7971-1AA00-0AA0 Siemens,,,,0,ZA,,,3638,1,48568 | 55879,2 I 0,Purchased Part,EN,,
ERSA000003,Simens,9999,,"6ES79711AA000AA0, Battery",Mexico City,0020-PL15|0020-EF50,0012L02043,,,,,,,0020-PL15|0020-EF50,VB,C875,,FX,3,,,2,1,PC,"6ES79711AA000AA0, Battery 9999 Dummy",,,,0,ZA,,,3145,2,48568 | 55879,3 I 4,Purchased Part,EN,,
ERSA000004,Harting,48V/12A 4P THT,09 46 245 4020,,Buenoes Aires,0010-GH15|0010-EG50|0010-PF30,0012L02007,,,,,,,0010-GH15|0010-EG50|0010-PF30,VB,Z976,,HB,2,,,3,1,PC, 48V/12A 4P THT Harting,,,,0,ZA,,,2497,3,48568 | 55879,7 I 3,Purchased Part,EN,,
ERSA000004,Harting,48V/12A 4P THT,09 46 245 4020,,Cape Town,0020-EF50|0020-PF90,0012L02007,,,,,,,0020-EF50|0020-PF90,VB,C875,,FX,3,,,1,1,PC, 48V/12A 4P THT Harting,,,,0,ZA,,,3265,1,48568 | 55879,1 I 4,Purchased Part,EN,,
ERSA000005,Dummy,88311,NBB10-30GM50-E2-5M,PEPPERL+FUCHS,Mexico City,0020-PL15,0012L02013,,,,,,,0020-PL15,VB,C875,,FX,2,,,0,1,PC,PEPPERL+FUCHS 88311 Dummy,,,,0,ZA,,,3606,2,48568 | 55879,0 I 8,Purchased Part,EN,,
ERSA000006,Balluf,BES0240,BES517-223-O3-E,Sensor,Chicago,0020-EF50,0012L01014,,,,,,,0020-EF50,VB,C875,,FX,3,,,3,1,PC,Sensor BES0240 Balluf,,,,0,ZA,,,1717,,48568 | 55879,5 I 2,Purchased Part,EN,,
ERSA000006,Balluf,BES0240,BES517-223-O3-E,Sensor,Chicago,0020-PL15|0020-EF50|0020-PF90,0012L01014,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6010,FX,2,,,1,1,PC,Sensor BES0240 Balluf,,,,0,ZA,,,1289,3,48568 | 55879,1 I 2,Purchased Part,EN,,
ERSA000010,Skf,PCM 101210 E,Plain bearing,,Buenoes Aires,0020-EF50|0020-PF90,0012L01014,,,,,,,0020-EF50|0020-PF90,VB,C875,,FX,2,,,0,1,PC, PCM 101210 E Skf,,,,0,ZA,,,3128,1,48568 | 55879,3 I 0,Purchased Part,EN,,
ERSA000011,Dummy,9999,PCM101210E,Bushings,Toronto,0020-PL15,0012L02028,,,,,,,0020-PL15,VB,C875,,FX,3,,,2,1,PC,Bushings 9999 Dummy,,,,4.73,ZA,,,4465,2,48568 | 55879,2 I 0,Purchased Part,EN,,
ERSA000012,Balluff,BES 516-326-G-E4-C-PU-05,,Sensor,Mexico City,0020-EF50,0012L02008,,,,,,,0020-EF50,VB,C875,,HB,2,,,4,1,PC,Sensor BES 516-326-G-E4-C-PU-05 Balluff,,,,0,ZA,,,2250,3,48568 | 55879,3 I 4,Purchased Part,EN,,
ERSA000013,WAGO Kontakttechnik,Industrial ECO switch 852-111,852-111,Industrial ECO switch 852-111,Buenoes Aires,0020-PF90,0012L01014,,,,,,,0020-PF90,VB,C875,,FX,1,,,1,1,PC,Industrial ECO switch 852-111 Industrial ECO switch 852-111 WAGO Kontakttechnik,,,,0,ZA,,,1090,1,48568 | 55879,7 I 3,Purchased Part,EN,,
